,Title,Image url,Description,Page url,Item number,Page number
385,Landscape,https://csmvs.in/wp-content/uploads/2023/06/33.56-LANDSCAPE.jpg,"Landscape
33.56
DESCRIPTION
John Constable (1776–1837) was one of the finest English landscape painters of the 19th century in the Romantic tradition. He was born in 1776 to a wealthy mill owner in Suffolk, and against his family’s wishes, he was admitted to the Royal Academy in 1800. Throughout his life, he focused on painting the landscapes surrounding his home in East Bergholt. His renowned works include Wivenhoe Park, Dedham Vale, and The Hay Wain.
Constable had a rebellious approach to his art. He had a deep appreciation of the interplay of light and the ever-changing patterns of clouds. Rather than conforming to expected idealisations, he aimed for accurate representations of nature. He drew inspiration from the work of Thomas Gainsborough (1772–1788), another Suffolk resident, whom he greatly admired.
Constable’s dedication to capturing the essence of the natural world had a profound impact on the development of landscape painting. His attention to detail, and his ability to convey the effects of light and atmosphere, set him apart as an exceptional artist. His works captured the romantic beauty of the English countryside, resonating with viewers and inspiring future generations of artists.
Sir D. J. Tata Collection.
COLLECTION
European Paintings
ARTIST
John Constable (1776-1837)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
19th Century CE
LOCATION
London
DIMENSION
28.9 x 31.6 cm",https://csmvs.in/collections/landscape-2/,386,14
386,"Portrait Paul François Jean Nicolas,Vicomte de Barras(Presumed)",https://csmvs.in/wp-content/uploads/2023/06/22.4587-Portrait-of-Vicomte-de-Barras.jpg,"Portrait Paul François Jean Nicolas,Vicomte de Barras(Presumed)
22.4587
DESCRIPTION
The horizontal central bar of the stretcher bears a French inscription that offers a clue to the possible identity of the sitter. It is highly likely that this is a portrait of the Viscount of Barras, Paul François Jean Nicolas (1755–1829), also known as Barras. Barras, a Provençal nobleman and a prominent figure in the French Revolution, was also known to have served in India. In the painting, he gazes firmly and confidently at the viewer.
This portrait was executed by Antoine Vestier, a French miniaturist and portraitist. On September 30, 1786, he was admitted to the Academy of Painting and Sculpture, earning the title of ""peintre du roi"" (Painter to the King). Like many artists of the time, he resided at the Louvre palace prior to the Revolution.
Sir Ratan Tata Art Collection
COLLECTION
European Paintings
ARTIST
Antoine Vestier (1740 – 1824)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
French
TECHNIQUE
Oil Painting
DATE
18th – 19th century CE
LOCATION
France
DIMENSION
91.5x 79.2 Cm",https://csmvs.in/collections/portrait-paul-francois-jean-nicolas/,387,14
387,Woman feeding a parrot,https://csmvs.in/wp-content/uploads/2023/06/33.59-Woman-feeding-a-parrot.jpg,"Woman feeding a parrot
33.59
DESCRIPTION
A young lady, adorned in an elegant day gown, can be seen feeding a fruit to a parrot perched on a play stand in this painting. The scene takes place by a window, with the light streaming through, offering a glimpse of the surrounding setting.
The painting is marked with the monogram ""EM,"" indicating that the artist may be Eduard Merk (1816-1888). Limited information is available about his life and works, but it is known that he specialized in genre painting and depicted scenes of country life.
Sir D. J. Tata Collection.
COLLECTION
European Paintings
ARTIST
Eduard Merk (attributed) c.1816-1888
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
German
TECHNIQUE
Oil Painting
DATE
19th Century CE
LOCATION
Germany
DIMENSION
124.2 x 100 cm",https://csmvs.in/collections/woman-feeding-a-parrot/,388,14
388,Interior of a Cathedral,https://csmvs.in/wp-content/uploads/2023/06/22.4592-Interior-of-a-Cathedral.jpg,"Interior of a Cathedral
22.4592
DESCRIPTION
Hendrik van Steenwijck II, also known as Hendrik van Steenwijck the Younger, was a Flemish Baroque painter known primarily for his architectural scenes and interiors, particularly of churches. He was born in Antwerp to the painter Hendrik van Steenwijck the Elder, and his artistic style closely resembled that of his father. In addition to his independent work, he also painted interiors for renowned artists such as Anthon van Dyck and Jan Brueghel the Elder.
The painting at hand bears resemblance to another artwork titled ""The Interior of a Gothic Church looking East,"" which was a collaborative effort between Hendrik van Steenwijck II and Jan Brueghel the Elder. This particular painting is currently part of the collection at The National Gallery in London.
Sir Ratan Tata Art Collection.
COLLECTION
European Paintings
ARTIST
Hendrik Van Steenwijck II (c.1580 – 1649)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on panel
SCHOOLS/CULTURE/PERIOD
Flemish
TECHNIQUE
Oil Painting
DATE
16th - 17th Century CE
LOCATION
Belgium
DIMENSION
48.9 x 60.8 cm",https://csmvs.in/collections/interior-of-a-cathedral/,389,14
389,Landscape,https://csmvs.in/wp-content/uploads/2023/06/33.45-LANDSCAPE.jpg,"Landscape
33.45
DESCRIPTION
John Constable (1776–1837) was one of the finest English landscape painters of the 19th century in the Romantic tradition. He was born in 1776 to a wealthy mill owner in Suffolk, and against his family’s wishes, he was admitted to the Royal Academy in 1800. Throughout his life, he focused on painting the landscapes surrounding his home in East Bergholt. His renowned works include Wivenhoe Park, Dedham Vale, and The Hay Wain.
Constable had a rebellious approach to his art. He had a deep appreciation of the interplay of light and the ever-changing patterns of clouds. Rather than conforming to expected idealisations, he aimed for accurate representations of nature. He drew inspiration from the work of Thomas Gainsborough (1772–1788), another Suffolk resident, whom he greatly admired.
Constable’s dedication to capturing the essence of the natural world had a profound impact on the development of landscape painting. His attention to detail, and his ability to convey the effects of light and atmosphere, set him apart as an exceptional artist. His works captured the romantic beauty of the English countryside, resonating with viewers and inspiring future generations of artists.
Sir D. J. Tata Collection.
COLLECTION
European Paintings
ARTIST
John Constable (1776-1837)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on paper
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
1837 CE
LOCATION
London
DIMENSION
30.2 x 33.8 cm",https://csmvs.in/collections/landscape/,390,14
390,Dordrecht Holland,https://csmvs.in/wp-content/uploads/2023/06/22.4562-Dodretcht-Holland.jpg,"Dordrecht Holland
22.4562
DESCRIPTION
James Webb (1825 – 1895) was a notable marine and landscape painter, known for his depictions of ships and coastlines. He extensively painted in the region of Dordrecht. This particular artwork showcases a large sailboat anchored along the shoreline of the port of Dordrecht.
Sir Ratan Tata Art Collection.
COLLECTION
European Paintings
ARTIST
James Webb (1825 – 1895)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
19th Century CE
LOCATION
London
DIMENSION
37.3 x 46.4 cm",https://csmvs.in/collections/dordrecht-holland/,391,14
391,Peeping in the well,https://csmvs.in/wp-content/uploads/2023/06/22.4596-Peeping-in-the-well-copy.jpg,"Peeping in the well
22.4596
DESCRIPTION
A young lady, filled with curiosity, is seen peeping into a well while holding a lorgnette in this painting. The artist has skillfully captured her fair complexion and the blush on her cheek. Against a darker background, her figure stands out, making her the focal point of the canvas. The artist's use of tonal contrast enhances the dramatic effect of the painting.
Francois-Claudius Compte-Calix, a French painter specializing in genre subjects, received his formal training at the Beaux-Arts de Lyon.
Sir Ratan Tata Art Collection.
COLLECTION
European Paintings
ARTIST
François-Claudius Compte-Calix (1813 – 1880)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
French
TECHNIQUE
Oil Painting
DATE
19th Century CE
LOCATION
France
DIMENSION
127 x 99.5 cm",https://csmvs.in/collections/22-4596/,392,14
392,Portrait of a lady,https://csmvs.in/wp-content/uploads/2023/06/22.4569-Portrait-of-a-lady.jpg,"Portrait of a lady
22.4569
DESCRIPTION
Sir Ratan Tata Art Collection
COLLECTION
European Paintings
ARTIST
George Romney (1734-1802)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
18th Century CE
LOCATION
United Kingdom
DIMENSION
--",https://csmvs.in/collections/portrait-of-a-lady/,393,15
393,The Bandaged Thumb,https://csmvs.in/wp-content/uploads/2023/06/33.3-Bandaged-Thumb.jpg,"The Bandaged Thumb
33.3
DESCRIPTION
The painting depicts a young girl gazing innocently at the viewer, with an expression of sadness as if she has recently cried or is experiencing some form of pain. Upon noticing her bandaged thumb, the reason for her sorrow becomes apparent. This poignant portrait was created by the English painter Agnes Clara Tatham, and it features her three-year-old niece, Agnes Kjaerulf Knudsen, as the subject.
Read more about this painting here.
COLLECTION
European Paintings
ARTIST
Agnes Clara Tatham (1893-1972)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on board
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
20th Century CE
LOCATION
United Kingdom
DIMENSION
50.8 x 41.1 cm",https://csmvs.in/collections/the-bandaged-thumb/,394,15
394,The Crusaders,https://csmvs.in/wp-content/uploads/2023/06/33.43-The-Crusaders.jpg,"The Crusaders
33.43
DESCRIPTION
This painting depicts a fierce battle between Rogero, the son of a Christian knight, and Ferrau, a formidable Moorish knight described in the famous Italian epic poem Orlando Furioso by Ludovico Ariosto. Rogero, accompanied by his cavalry, launches an attack on Ferrau in an attempt to defeat him. Rogero is depicted wearing a helmet and a white tunic adorned with a red formé cross on the chest. He brandishes a sword, while Ferrau, depicted as an old man with a white beard and wide eyes, looks back at Rogero. In the background, a red flag with a white formé cross, representing the crusaders, flutters.
This painting was exhibited at the Royal Academy in London in 1876. The composition shows the influence of Rubens' painting ""The Hippopotamus and Crocodile Hunt,"" which itself drew inspiration from Leonardo da Vinci's ""The Battle of Anghiari.""
Sir John Gilbert, a self-taught English artist, illustrator, and engraver, created this artwork. He demonstrated mastery in various media, including watercolour, oils, and more.
Signed and dated lower right: John Gilbert 1875
Sir D. J. Tata Collection
COLLECTION
European Paintings
ARTIST
Sir John Gilbert (1817 – 1897)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
19th Century CE
LOCATION
London
DIMENSION
111.1 x 160.8 cm",https://csmvs.in/collections/the-crusaders/,395,15
395,Boy fishing,https://csmvs.in/wp-content/uploads/2023/06/22.4539-Boy-fishing.jpg,"Boy fishing
22.4539
DESCRIPTION
The teenage boy is catching fish on the bank of a body of water, his attention fixed on the ripples that may occur as the fish takes the bait. On the horizon, a windmill stands as a symbol of human presence, while a sailing boat can be seen in the distance.
Henry Herbert La Thangue (1859 – 1929) was an English realist painter known for his depictions of rural landscapes. He was associated with the Newlyn School, an art colony of artists situated near the fishing port of Newlyn in southwest Cornwall, England.
Sir Ratan Tata Art Collection.
COLLECTION
European Paintings
ARTIST
Henry Herbert La Thangue (1859 – 1929)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
19th Century CE
LOCATION
London
DIMENSION
102 x 114.7 cm",https://csmvs.in/collections/boy-fishing/,396,15
396,Jamsetji Nusserwanji Tata (1839 – 1904),https://csmvs.in/wp-content/uploads/2023/06/33.72-Jamshetji-Tata.jpg,"Jamsetji Nusserwanji Tata (1839 – 1904)
33.72
DESCRIPTION
Jamsetji Nusserwanji Tata (1839 – 1904) was the founder of the Tata Group, one of the largest industrial conglomerates in India. At the time of his death in 1904, he left behind a legacy upon which the foundation of the Tata Group was built. It was one year after his passing that the foundation of this museum was laid. Years later, in 1922 and 1933, Jamsetji's sons, Sir Ratan Tata and Sir Dorabji N. Tata, generously bequeathed over 3,000 art objects to this museum.
In this portrait, Jamsetji is depicted wearing a Parsi prayer cap and a woven gray embroidered robe, seated comfortably in a cane chair. The use of bright light creates a high contrast, adding a dramatic effect to the portrait. He was 50 years old at the time this portrait was painted.
The artwork is signed and dated by the artist: ""Edwin Ward 1889.""
Edwin Ward, a British painter who was most prolific from 1833 to 1927, was elected to the Royal Society of Portrait Painters in 1891. Some of his works can be seen at the Castle Museum in Nottingham.
Sir D. J. Tata Collection
COLLECTION
European Paintings
ARTIST
Edwin Ward (1859 – 1933)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
British
TECHNIQUE
Oil Painting
DATE
1889 CE
LOCATION
United Kingdom
DIMENSION
164 x 137.8 cm",https://csmvs.in/collections/jamsetji-nusserwanji-tata-1839-1904/,397,15
397,David and Abigail,https://csmvs.in/wp-content/uploads/2023/04/David-Abigail.jpg,"David and Abigail
22.4561
DESCRIPTION
This scene is drawn from the Old Testament of the Bible, I Samuel 25. It depicts the wise and beautiful Abigail offering David a gift of copious goods, which her churlish husband Nabal had denied him, specifically the moments in verses 23 and 27: “And when Abigail saw David, she made haste, and alighted from her ass, and fell before David.… And [she said] now this present which thy servant hath brought, unto my lord, let it be given unto the young men that follow my lord.” When Nabal learned of his wife’s furtive deed, “his heart died within him”, freeing her to marry David.
The artist of this large painting almost certainly is Erasmus Quellinus II (1607– 78), a well-educated Flemish painter and draughtsman who joined the artists’ guild in Antwerp in 1632.1 During the 1630s he was an important collaborator of Peter Paul Rubens, whose work had a profound influence on his own style. Following Rubens’ death in 1640, he became the official painter of Antwerp. Wealthy at the time of his death, he owned paintings by Rubens, Van Dyck, and other prominent artists, as well as many sculptures, prints, and drawings.
Like Quellinus II’s 'Reconciliation of Jacob and Esau and Jephta Greeted by his Daughter', which share many features with
David and Abigail, the Tata canvas probably was painted during the earlier 1630s. All three reflect the design and sumptuous staging of a 'David and Abigail' executed in Rubens’ studio a decade earlier (J. Paul Getty Museum). Quellinus II’s 'David and Abigail' in turn was the source of a later copy and a variant.
Sir Ratan Tata Art Collection
COLLECTION
European Paintings
ARTIST
Erasmus Quellinus II (1607–78)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
Flemish
TECHNIQUE
Oil painting
DATE
17th century CE
LOCATION
Belgium
DIMENSION
c. 184 x 258 cm",https://csmvs.in/collections/david-and-abigail/,398,15
398,"Homer, Apollo and the Muses on Mt. Parnassus",https://csmvs.in/wp-content/uploads/2023/04/22.4535.jpg,"Homer, Apollo and the Muses on Mt. Parnassus
22.4535
DESCRIPTION
When auctioned at Christie’s in London in 1839, this painting was fittingly described as “Homer reciting his poems
before Apollo, who is playing the lyre; the Muses and Corybantes around him; Cupids with the car of Phoebus seen behind; in a circular frame; a beautiful composition, treated with true classical feeling”. A companion canvas depicted “Bacchus and Ariadne reclining on a bank, surrounded by satyrs and nymphs”. Both were consigned by Sir Henry Oxenden and were bought by George Yates. Bacchus and Ariadne are unidentified; the history of Homer, Apollo and the Muses between 1839 and Sir Ratan’s acquisition of it remains untraced.
What Christie’s had wrong, however, was the artist, whom they identified as the great French painter Nicolas Poussin (as
such it has remained in the Museum’s records). Homer, Apollo and the Muses are by Mattia Preti instead, a gifted artist from the south of Italy whose prolific career began in Rome (1630s–40s), flourished in Naples (1653–60), and concluded with a long sojourn on Malta (1661–99). That Poussin’s name could be attached to this painting points to its date around 1640 when Preti was moving away from a Caravaggesque phase to one that embraced neo-Venetian trends as exemplified in Poussin’s art. The low vantage point of Homer, Apollo and the Muses and its literary subject suggests that it could have decorated the ceiling of a library. No documents are known, however, that explain its origins.
Sir Ratan Tata Art Collection
COLLECTION
European Paintings
ARTIST
Mattia Preti (1613–99)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on Canvas
SCHOOLS/CULTURE/PERIOD
Renaissance
TECHNIQUE
Oil paintings
DATE
16th century CE
LOCATION
Italy
DIMENSION
c. 156 x 154 cm",https://csmvs.in/collections/homer-apollo-and-the-muses-on-mt-parnassus/,399,15
399,Triumph of Bacchus Arriving on Naxos,https://csmvs.in/wp-content/uploads/2023/04/22.4620.jpg,"Triumph of Bacchus Arriving on Naxos
22.4620
DESCRIPTION
Young Bacchus (Dionysus), the god of wine, rides a cheetah-drawn chariot surrounded by satyrs and maenads as he
arrives in Naxos, where he will rescue his bride-to-be, the abandoned Ariadne. The subject fits a set of five mythological
scenes celebrating wine and love, commissioned by Duke Alfonso d’Este to decorate a camerino in his castle in Ferrara.
Giovanni Bellini’s Feast of the Gods was completed first, by 1514, followed by three of Titian’s greatest secular works: the Worship of Venus, Bacchanal of the Andrians, and Bacchus and Ariadne. The group was completed by the local court artist, Dosso Dossi, with a scene described by the Renaissance historian Giorgio Vasari as “a Bacchanal rout of men which was so good, that, even if he had never done any other thing, for that alone [Dosso] would deserve praise and the name of an excellent painter”.
The Duke’s camerino is destroyed and Dosso’s Bacchanal unidentified – at least until 2000, when this painting, acquired by Sir Ratan shortly after it was sold in 1917 as “Dosso Dossi (School of)”, was put forward as the long-lost picture. It almost certainly is by the same hand as an altarpiece from the church of Santa Maria in Vado in Ferrara, which belongs to a group of paintings claimed to be Dosso’s early work. Most scholars, however, reject the claim on stylistic grounds. Moreover, to accept them would mean that the Tata painting, despite its apparently derivative correspondences with Titian’s Bacchus and Ariadne, pre-dates that masterpiece by nearly a decade. Thus it seems unlikely that this could be Dosso’s painting from the camerino.
Sir Ratan Tata Art Collection
COLLECTION
European Paintings
ARTIST
Attributed to Dosso Dossi (c. 1486– 1541/42)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
Renaissance
TECHNIQUE
Oil painting
DATE
16th century CE
LOCATION
Italy
DIMENSION
136 x 168.5 cm",https://csmvs.in/collections/triumph-of-bacchus-arriving-on-naxos/,400,15
400,The Sword of Damocles,https://csmvs.in/wp-content/uploads/2023/01/22.4544.jpg,"The Sword of Damocles
22.4544
DESCRIPTION
When this painting was exhibited in the Paris Salon of 1804, Dubost won the praise of Jacques-Louis David and a gold medal from Napoleon.It depicts the 4th century BCE tyrant Damocles surrounded by dancing girls and objects of luxury as he espies a sword precariously suspended above him, thereby realizing that with perpetual menace there can be no happiness. The dramatic, academic nude is fully Davidian, while its languorous pose, coyly veiled genitals, and attenuated leg partake in a fashion of the time to evoke androgyny.
Dubost took the painting to London where, in 1807, The Times declared it “one of the richest pictures we ever beheld”. It caught the attention of Thomas Hope, the Dutch-born merchant banker, collector, designer, and promoter of the Greek Revival. (Lawrence’s portrait, is of his younger brother.) He bought it for 800 guineas but infuriated Dubost by overpainting some areas and cutting the canvas down at the top in order to make it fit a symmetrical hang in his London town house. He even effaced the artist’s signature when Dubost’s detractors claimed that it was too good to have been painted by Dubost and must be by David instead. Dubost retaliated with a satirical painting of Beauty and the Beast, giving the beast Hope’s likeness. Hope’s brother-in-law slashed it to pieces, Dubost sued for damages, and he published a booklet exposing Hope as “more of the Dutch trader than the liberal patron.
Despite its quality and having been the focus of so much attention, by the time of the Hope auction in 1917. The Sword of Damocles had lost its attribution and sold for only £57-15-0 as “French School”. Recent cleaning removed Hope’s alterations and recovered the signature, inscribed in Greek in ancient form, “Dubost made it.”
Sir Ratan Tata Art Collection.
COLLECTION
European Paintings
ARTIST
Antoine Dubost (1769–1825)
OBJECT TYPE
Painting
MATERIAL
Oil on Canvas
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
--
LOCATION
--
DIMENSION
228 x 258 cm",https://csmvs.in/collections/the-sword-of-damocles/,401,15
401,Portrait of Henry Philip Hope,https://csmvs.in/wp-content/uploads/2023/01/22.4614.jpg,"Portrait of Henry Philip Hope
22.4614
DESCRIPTION
England’s grand portrait tradition,extending from Van Dyck and Lely to Gainsborough and Reynolds, culminated in Thomas Lawrence. Despite patronage from Europe’s heads of state and the English aristocracy, and despite becoming President of the Royal Academy (1820), Lawrence was habitually in debt, chiefly because of his extravagant lifestyle, including the cost of amassing an unrivalled collection of Old Master prints and drawings. Pressed to produce (he was near bankruptcy in 1807), he took on more commissions than he and his assistants could complete. When Sir Ratan paid 525 guineas for this portrait at the Hope auction in 1917, he almost certainly was unaware that it had remained in Lawrence’s studio after the artist died, along with some 150 other unfinished portraits. It was only “abt 1/2 finished” and completed by another hand, perhaps that of the Irish painter Sir Martin Archer Shee.
Lawrence’s most dramatic full-length portraits have a low point of view silhouetting and enhancing their towering figures. Exemplary is his Portrait of John Philip Kemble, as Coriolanus (1798), which conceptually is akin to his Portrait of Henry Philip Hope.Henry Philip (1774–1839) was a younger brother of the more famous collector and taste-maker Thomas Hope , who in 1798 had been painted by William Beechey in Ottoman costume, turbaned and with dagger in hand. Henry Philip sat for Lawrence in 1805, likewise dressed in Ottoman style to evoke his travels and admiration of Greek civilization. His vast wealth included a sizeable collection of ancient sculpture, paintings, and gems. Among the latter was the world’s largest deep blue diamond, which still bears his name, the Hope diamond.
Sir Ratan Tata Art Collection.
COLLECTION
European Paintings
ARTIST
Sir Thomas Lawrence (1769–1830) completed by Sir Martin Archer Shee (?)
OBJECT TYPE
Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
17th - 18th Century CE
LOCATION
--
DIMENSION
261 x 155 cms.",https://csmvs.in/collections/portrait-of-henry-philip-hope-2/,402,15
402,At the Crossroads (the World or the Cloister),https://csmvs.in/wp-content/uploads/2023/01/33.28.jpg,"At the Crossroads (the World or the Cloister)
33.28
DESCRIPTION
Emil Rau, whose career awaits serious study, was born in Dresden in 1858; his death date is unknown. He attended the academy in Dresden and by 1879 entered the academy in Munich, where he settled and worked primarily as a genre painter, specializing in contemporary Bavarian subjects. Typical is his joyful and picturesque Test of Patience, which, like this example, is signed and dated 1888, the year before Rau reportedly was awarded a gold medal in London.
A published list of Rau’s principal works cites this painting with its German title, Am Scheidewege (Welt oder Kloster). It describes the story thus: “At the train station a peasant girl between two nuns at table with a young couple on their honeymoon trip”. The meaning is clear: the young girl is confronting the dilemma of deciding between a religious and a secular life. Rau and his audience undoubtedly saw a parallel between her modern quandary and the mythic choice of Hercules, who, at the crossroads, had to decide between an arduous life of virtue and the easy path of pleasure.
Sir D.J. Tata Collection.
COLLECTION
European Paintings
ARTIST
Emil Rau (1858–?) Signed and dated lower right: E RAU München 1888
OBJECT TYPE
Painting
MATERIAL
Oil on canvas
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
1888 CE
LOCATION
--
DIMENSION
151 x 204 cms.",https://csmvs.in/collections/at-the-crossroads-the-world-or-the-cloister/,403,15
403,Adoration of the Magi,https://csmvs.in/wp-content/uploads/2023/01/33.41.jpg,"Adoration of the Magi
33.41
DESCRIPTION
Born in Verona, Bonifazio worked primarily in Venice, where he absorbed the art of Giovanni Bellini and Giorgione, as well as that of his contemporaries Palma Giovane and especially Titian. In design and style his paintings are conservative, variations more than advances on models by the great Venetian masters. Although he ran a busy workshop (Jacopo Bassano studied under him), he seldom attracted high patronage or top fees. He and his collaborators spent some 20 years decorating the Palazzo dei Camerlenghi at the Rialto, all the while producing numerous private devotional and secular paintings.
Among those, the Adoration of the Magi was a particularly popular subject in the artist’s studio, where many versions with compositional variations were recycled. In the Tata painting, for instance, the pose of the central standing magus (who might contain a contemporary portrait) simply reverses his counterpart in Bonifazio’s Adoration at Petworth House; the turbaned magus at the right closely echoes a kindred figure in an Adoration of 1537 in the Gallerie dell’Accademia in Venice; and the posture of the Virgin in effect repeats her position in still two more Adorations in the same museum. All three of those paintings in the Accademia have been catalogued as studio productions, one of which is even dated 1558, three years after the artist’s death.
Sir D.J. Tata Collection.
COLLECTION
European Paintings
ARTIST
Studio of Bonifazio de’ Pitati Veronese (1487–1553)
OBJECT TYPE
Oil Painting
MATERIAL
Oil on Canvas
SCHOOLS/CULTURE/PERIOD
Italian
TECHNIQUE
Oil painting
DATE
--
LOCATION
Italy
DIMENSION
131 x 202 cm",https://csmvs.in/collections/adoration-of-the-magi-2/,404,15
404,Hand – drum,https://csmvs.in/wp-content/uploads/2023/07/33.924_02.jpg,"Hand – drum
33.924
DESCRIPTION
Hand - drum is used to attract the attention of the gods while reading the sacred books, and at ceremonies of baptism.
Sir D J Tata Art Collection
COLLECTION
Himalayan Art
OBJECT TYPE
Musical Instrument ritual object
MATERIAL
Wood with snake skin
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
19th century CE
LOCATION
Tibet",https://csmvs.in/collections/hand-drum/,405,15
405,Thighbone Trumpet,https://csmvs.in/wp-content/uploads/2023/07/79.81_02.jpg,"Thighbone Trumpet
79.81
DESCRIPTION
Thighbone trumpet is said to produce a sound that is pleasing to the wrathful deities, but terrifying to all evil spirits. It is an
attribute of yoginis and siddhas. Possession of the thighbone trumpet symbolises control over the three realms. The
thighbone trumpet is used in rituals of exorcism and weather control. Such trumpets are never used in festivals.
COLLECTION
Himalayan Art
OBJECT TYPE
Musical Instrument ritual object
MATERIAL
Human Bone with metal fittings and corals
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
19th century CE
LOCATION
Tibet",https://csmvs.in/collections/thighbone-trumpet/,406,15
406,Pair of Cymbals,https://csmvs.in/wp-content/uploads/2023/07/78.62_01.jpg,"Pair of Cymbals
78.62
DESCRIPTION
Cymbals are an essential feature of temple repertoire and are used in rituals to create a vibrating impulse. The three emblems on these Cymbals are:
i) Whirling emblem – symbolises the ceaseless change
ii) Shou – originally Chinese symbol of longevity and an emblem of good fortune
iii) Stylised dragons - symbol of eternal conflict between the opposing forces.
COLLECTION
Himalayan Art
OBJECT TYPE
Musical Instrument ritual object
MATERIAL
Bronze
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
19th century CE
LOCATION
Nepal",https://csmvs.in/collections/pair-of-cymbals/,407,15
407,CONCH SHELL TRUMPET,https://csmvs.in/wp-content/uploads/2023/08/22.3010.jpg,"CONCH SHELL TRUMPET
22.3010
DESCRIPTION
IN A heavily ritualistic religious tradition, the devotee needs a number of supportive objects to carry out his procedure of worship in the temple. One of the most important one of these objects is the instrument of sound, besides the lamp and the incense.
Conch, a natural instrument creating invocatory sound is either in its original form or as trumpet, is invariably used in the monasteries and temples of Tibet. It is likely that the use of conch shells introduced in the mountainous regions of Tibet from India where it is available in plenty and is ascribed symbolic significance of purity of primordial sound. The sound of the conch shell trumpet from the roof of a monastery is a call sign for the Lamas.
When used as a trumpet, it is heavily decorated. The conch is attached to the trumpet which has a rectangular metal plate. Often the designs on these are gold plated. The conch shell with the right turned whorls is considered highly auspicious, so much so that one such trumpet was taken by a Tibetan emissary De-bzhin-gshegs-pa to China as an offering to the King Chengzu in 1407 CE.
The trumpet is attached to a shell and has a decorative brass plate soldered to it. In the middle of the brass plate, between the two stylized dragons is a fire and kirtimukha. The guardians on the four sides are depicted on the four corners of the outer border. There is a depiction of human skulls on the side border. The mask or kirtimukha also regarded as an auspicious emblem protects the devotees from evil.
The present trumpet has an inscription on it which says that it was a gift by Nathu Kheyul Rimpocha of Lithang to the great Lhaste at the time of his second reign in Water Snake Year= 1500 CE
Sir Ratan Tata Collection
COLLECTION
Himalayan Art
OBJECT TYPE
Musical Instrument ritual object
MATERIAL
Copper and Shell
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
Dated Water-Snake year=1500 CE
LOCATION
Tibet
DIMENSION
32.2 x 39.6 cms.",https://csmvs.in/collections/conch-shell-trumpet/,408,15
408,Ritual Bell,https://csmvs.in/wp-content/uploads/2023/06/33.735-copy.jpg,"Ritual Bell
33.735
DESCRIPTION
Ritual Bell with handle in the form of Thunderbolt. A thunderbolt (Vajra) represents the male aspect of Karuna compassion and a bell the female aspect of Prajna or wisdom.
COLLECTION
Himalayan Art
OBJECT TYPE
ritual object
MATERIAL
Bronze
SCHOOLS/CULTURE/PERIOD
--
TECHNIQUE
--
DATE
19th century CE
LOCATION
Nepal",https://csmvs.in/collections/ritual-bell/,409,15
